#separator:tab
#html:true
What's the three types of version control?	Local, Centralized, Distributed
Why would we want to use a Schema? Give 5 examples.	1, Can be used to ensure a valid file&nbsp;<br><br>2, Can be used as a template<br><br>3, Eases parsing&nbsp;<br><br>4, Greater efficiency<br><br>5, Can be used to identify any errors
Full form of DTD ?	Document Type Definition&nbsp;
"What's the meaning of the following special syntax?<br><br><div>1, &lt;!ELEMENT xxx&nbsp;(xxx, xxx, xxx…)&gt;</div><div><br></div><div>2, &lt;!ELEMENT xxx (#xxx)&gt;</div><div><br></div><div>3, &lt;!ATTLIST xxx xxx xxx xxx&gt;</div>"	"1, &lt;!ELEMENT element-name (sub-element, sub-element, sub-element…)&gt;<br>&nbsp; &nbsp; &nbsp;It means specify subelements under this element<br><br>2, &lt;!ELEMENT element-name (#PCDATA)&gt;<br>&nbsp; &nbsp; PCDATA means parsed character data, the text inside an element<br><br>3, &lt;!ATTLIST element-name attribute-name attrubute-type attribute-value&gt;<br>&nbsp; &nbsp; Specifies an attribute that can belong to an element"
When do you need to use namespaces?	"When we want to bring in ""other"" XML elements and attributes that we can use into our own XML. <br>Namespaces can avoid conflicts and make it clear what refers to what."
For XML Schema Definition, every element can be defined as?	Simple, Complex
What's the difference between SimpleType and ComplexType in XML?	For SimpleType, it contains text only and the elements are of SimpleType by dfefault. Also, it cannot be empty.<br><br>For ComplexType, it can have attributes and can contain children (it can be empty, other elements, text, combination of text and other elements)&nbsp;
How to make the data persistent? Give three examples.	1, Writing into a local file on a local disk<br>2, Writing it across the network<br>3, Connecting to a database
In Java, every file is considered as?	Sequential stream of bytes (bytestream)
In Java, how file is terminated?&nbsp;	"It's terminated with a special ""end-of-file"" marker byte"
What is the meaning of serialization?	To convert its state to a byte stream.
How to read a flattened object back from a file?	Deserialize the file
Is java.io.File an abstract representation?	Yes
Does creating a File object create or open a file in the underlying OS?	No
What does a File object do?	It provides a means of addressing one in Java, in a platform independent way.
What file objects are used as?	File objects are used as sources and targets of input and output streams to actually transfer data to and from disk.
What does the variant of File(String pathname) do?	It allows you to separately specify the path to the file and the file name itself.
How to create a File? Write the java code.	"import java.io.File;<br>import java.io.IOException;<br>public class File{<br>&nbsp; public static void main(String[ ] args){<br>&nbsp; &nbsp; String path = ""d:"" + File.separator + ""file.xxx"";<br>&nbsp; &nbsp; File file = new File(path);<br>&nbsp; &nbsp; try{<br>&nbsp; &nbsp; &nbsp;f.createNewFile();<br>&nbsp; &nbsp; } catch(IOException e){<br>&nbsp; &nbsp; &nbsp;e.printStackTrace();<br>&nbsp; &nbsp;}<br>&nbsp; }<br>}"
Given String home, String path, write an example of absolute path	"String home = System.getProperty(""user.home"");<br>String path = home + File.separater + ""Desktop"" + File.separator + ""file.txt"""
"Create a File class to create and delete files<br>#When file exist, delete, otherwise create&nbsp;"	"public class File{<br>public static void main(String[ ] args){<br>path = ""d"" + File.separator + ""file.txt"";<br>File file = new File(path);<br>if(file.exists){<br>file.delete;<br>}<br>else{<br>try{<br>file.createNewFile();<br>} catch(IOException e) {<br>e.printStackTrace();<br>}<br>}<br>}<br>}"
Give me two high level GUI component which allow the user to select a file by browsing the local file system using a GUI window.	1, javax.swing.JFileChooser<br>2, javafx.stage.FileChooser
"Whether the data is being written to disk or sent across a network, at OS
level, the data will always end up as?&nbsp;"	Stream of bytes and then bits
Advangtage of treating a file as a stream of bytes?	Any client software accessing a file from a disk can use the same I/O interface as if it were receiving the same stream of bytes across the network.
Java use inputStream and outputStream as byte-based stream. How about character-based?	Reader &amp; Writer
Compare to byte-based streams, what's the advantage of using character-based?	More convenient to use for strings
Difference between inputStream and outputStream?	inputStream read, outputStream write&nbsp;
Code inputStream and outputStream	"input:<br><div><pre>public class InputTest {<br>  public static void main(String[] args) throws Exception {<br>    File file = new File(""test.txt"");<br>    InputStream inputStream = new FileInputStream(file);<br>    byte b[] = new byte[(int) file.length()];<br>    inputStream.read(b);<br>    inputStream.close();<br>    System.<span style=""font-style: italic;"">out</span>.println(new String(b));<br>  }<br>}</pre><pre>output:</pre><pre><div><pre>public class OutputTest {<br>  public OutputTest(String s) {<br>  }<br><br>  public static void main(String[] args) throws Exception{<br>    File file = new File(""test.txt"");<br>    OutputStream outputStream = new FileOutputStream(file);<br>    String str = ""Bye"";<br>    byte b[] = str.getBytes();<br>    outputStream.write(b);<br>    outputStream.close();<br>  }<br>}<br></pre></div></pre></div>"
Code character-based writer and reader stream	"Writer:<br><div><pre>public class characterWrite {<br>  public static void main(String[] args) throws IOException {<br>    File file = new File(""test.txt"");<br>    Writer writer = new FileWriter(file);<br>    String str = ""Character-based writer stream"";<br>    writer.write(str);<br>    writer.close();<br>  }<br>}</pre></div>Reader:<br><div><pre>public class characterRead {<br>  public static void main(String[] args) throws IOException {<br>    File file = new File(""test.txt"");<br>    Reader reader = new FileReader(file);<br>    int temp = 0;<br>    while((temp = reader.read()) != -1){<br>      System.<span style=""font-style: italic;"">out</span>.println((char)temp);<br>    }<br>    reader.close();<br>  }<br>}<br></pre></div>"
For character-based reader stream, what is the meaning of -1?	end of the stream has been reached
Does Java use UNICODE conventions to store characters?	Yes
"What is the meaning of a ""tagging"" interface? Give an example (java interface)"	"A ""tagging"" interface means it has no methods declared in it. One example is java.io.Serializable"
Using java.io.ObjectOutputStream, give an serialization example.	"File file = new File(""test.txt"");<br>OutputStream out = new FileOutputStream(file);<br>ObjectOutputStream oos = new ObjectOutputStream(out);"
In Java, how to deserialize? What stream do you use?	ObjectInputStream
What does Object readObject() do?	An method to attempt to read an object from the InputStream.
Code a deserialization example.	"File file = new File(""test.txt"");<br>InputStream inputStream = new FileInputStream(file);<br>ObjectInputStream ois = new ObjectInputStream(inputStream);<br>Object obj = ois.readObject();<br>ois.close();<br>System.out.println(obj);"
What's the problem with persistent objects?	The actual implementations of classes can vary over time.
What is a serial version UID?	As an object is serialized, a 64-bit secure hash of the full class descriptionis written as part of the object's state.
We can serialize an object if :	1, All the fields of its class are primitives and String<br>2, Other types are also acceptable as long as they are declared as Serializable
At the time of serialization, what can we do if we don't want to save value of a particular variable in a file?	"We can use "" transient "" keyword (e.g. private transient String name;)"
What is the meaning of field in Java?	Java fields are variables with Java classes&nbsp;
"The writeObject method of ObjectOutoutStream provides a default implementation
of object serialization.<br>What is the process?"	1, Write a hashcode of the current Class object for the object being serialized.<br><br>2, Serialize the fields of the object :<br>Ignore static fields&nbsp;<br>Ignore transient fields<br>Used a fixed encoding (cf. DataOutputStream) for primitive types and String values<br>Recursively call writeObject on reference types if they haven't already been serialized
"In order to
serialize an object of serializable class A, then either :"	Its superclass is also serializable or its superclass has a no argument constructor method
Is char a primitive datatype	Yes
What's the char value? (in bit)	16 bit
What's the common encoding of Unicode?	UTF-8
Is String jujst a sequence of Unicode values in Java?	No, Strings in Java are actually modelled as full-blown objects.
When you use a String in Java, what will JVM do?	JVM will allocagte heap-space for the object representing that string.
What's the difference between JVM and Java compiler?	When you run the Java program, Java compiler first compiles the program to bytecode. Then, the JVM translates bytecode into native machine code.
What's the easiest way to create a String object?	Just write a string literal
"What's the difference between <br>&nbsp;String str = “Java”;
<br>and <br>char[] name = {‘J', ‘a’, ‘v', ‘a' };
<br>String str = new String(name);<br>Also, what's the advantage/disadvantage of using String str = “Java”"	"For String str =""Java"", it creates a string object using a string literal, and it's stored in string pool<br><br>For String str = new String(name), it creates a string object from arrays of char or bytes (in this case char), and each time this code is executed, a new String&nbsp;object is created in the heap, even if an identical string already exists.<br><br>Using string literal can save memory and faster<br>Using String str = new String() can guarantees the creation of a new <code>String</code> object every time, while string literals might reuse instances from the string pool."
"If we use ""=="" to compare different constructors for String class, we can only check if they are in the same heap-space. How could we compare the values of two strings?"	Using equals() method.
For int compareTo(String str), how it works?	It compare two strings in a lexicographic ordering to see whether one is less than the other
What will int compareTo(String str) returns if the strings have the same(or this string is less than str) content ?	Same content : return 0<br>Less than str : return -1<br>*It uses unicode representation
Are objects of type String immutable?	Yes, their contents cannot be changed
What's the difference between a machine and a virtual machine?	A virtual machine is similarly a machine with its own architecture and instruction set but the difference is that it is built in software rather than in hardware.
"Is the architecture of the JVM is
a high or low -level abstract
description?"	High-level abstract description
In Java, what's the difference between Heap Space and Stack?	Java Heap Space is used throughout the application, but Stack is only used for the method - or methods - currently running.
"For the architecture of the JVM, what subsystem is responsible
for locating your .class
files?"	The Class Loader subsystem
How Class Loader works in JVM ?	It verifies that .class files represent well-form (bytecode) classes, then it loads them into the Method Area of the shared memory, linking and initialising the class variables.
Wnat's the difference between Shared data areas and Non-shared data areas?	Shared data areas have one method area and one heap per JVM instance<br>For Non-shared data areas, each thread has its own Java Stack and Program Counter
What's the main role of the JVM ?	The main role of the JVM is to find the main method, load and execute our application.
Is there registers for JVM temporary data storage ?	No, JVM has a Stack Based architecture.
What's the Program Counter do for JVM?	It holds the address of the next bytecode instruction to execute for each thread.
What does Java Stack do?	It holds state information for that thread (e.g. which methods have been called)
What is Execution Engine in JVM ?	It is the part which describes how bytecodes is actually executed, and what the expected behaviour should be. <br>-<br>It also details the behaviour in terms of the JVM instruction set.<br>-<br>Each Java Thread uses an instance of the Execution Engine to execute its code.<br>
Which area of memory stores object instances?	Heap
Is Thread Local Memory non-shared memory?	Yes
What is the thread local memory essentialiiy made up of ?	Program counter and Java Stack
Java treats Array as fully-fledged object instances and they are stored on the heap. The actual information stored in the 'object instance' for an array is the?	Array length<br>Array data<br>Pointer to the array Class in the Method Area - array objects extends Object
In Java, it's common to make a call to another method, whilst in the middle of executing a method. So, when a thread is executing MethodA() and reaches the point in the code in which MethodB() is called, what will happen?<br>Also, what will happen when MethodB() terminates?	A new frame is pushed on to the stack - on top of the frame for MethodA(). When MethodB() terminates, its frame is popped and discarded.
In JVM, which two operations are permitted on the Stack?	Push and POP
What is the disadvantage of using recursion in Java ?	Recursion uses more memory
Is recursion or tail recursion more efficient ? Why ?&nbsp;	Tail recursion, the recursive function is called last, so it is more efficient than recursion.
What's the difference between coding recursion and tail recursion ? Use factorial to explain.	"Recursion :&nbsp;<br>public static int fact (int n) {<br>if(n&lt;=1) return 1;<br>else return n * fact(n-1);<br>}<br>Tail Recursion :<br> public static int factorial(int n, int accumulator) {<br>&nbsp;if (n == 1) {<br>&nbsp;return accumulator; <br>// Base case: return the accumulated result<br>&nbsp;} <br>else {
<br>&nbsp;return factorial(n - 1, n * accumulator); <br>// Tail recursive call<br>&nbsp;}<br>&nbsp;}"
"Why don't handle error with "" if "" statement ?"	You have to check the return value if it's an error.
What does the exception object contain ?	Information about the error<br>Error type<br>State of the program when the error occurred
What's the term while creating an exception object and handing it to the runtime system ?	throwing an exception
Using Exceptions to report errors mean ? ( Has this helped ?)	"1, Errors can not be ""forgotten"" or ignored as methods with errors don't return successfully.<br>2, Methods that may throw an exception are easily identifiable as they use the special ""throws"" keyword."
What are the two ways to handle a thrown exception ?	Catch it - using try-catch block<br>Defer it - passing it on the method that called the method the method that threw the exception
What will happen if you don't catch your exception by the time it is thrown back to the JVM ?	Your program will terminate
Exceptions can be broadly categorised into ?	Checked exceptions and unchecked exceptions
Do RuntimeExceptions need to declare 'throws' or use a 'try-catch' ? Why ?	No, because its subclasses are unchecked exceptions
Unchecked exceptions are normally thrown due to ?	1, Logic error in the code<br>2, Poor programming, doesnt check user's sanitising inputs
Is Class Error checked or unchecked ?&nbsp;	unchecked
For 'finally' clause, what's the use of it ?&nbsp;	It is mostly used to free up system resources.
When will 'finally' clause execute ?	The finally block executes regardless of whether an exception is thrown or caught.
"What's the difference ?<br>static String country = ""Country A"" ;<br>String country = ""Country A"";"	Declare a member with static, such values would be shared across all instances of a class.
What's the other name of static variable ?	class variable
Is 'static final' a constant ? Why ?	Yes, because it cannot be changed after the object that contains it is constructed.&nbsp;
Where does the initialisation code for static fields gets executed ?&nbsp;	It gets executed at class object construction time .
Where does the initialisation code for non-static fields gets executed ?&nbsp;	It gets executed at object construction class .&nbsp;
"For "" static final int f = 1; "", does this mean that f must be written in the initialisation code or a constructor method ?&nbsp;"	Yes&nbsp;
For public static void main (String [ ] args) , what does the modifier static indicates ? (class / instance level member )&nbsp;	Class level member
"<img src=""Screenshot 2024-03-29 174433.png"">"	C
"<img src=""Screenshot 2024-03-29 174703.png"">"	"Correct options : B,D
<br>Options A,C are incorrect because exam1 is a final variable . You can’t re assign value to a final
variable. B is correct because instance block can access static variable and can assign value to it.
D is correct because static block can access static variable and can assign value to it."
"<img src=""Screenshot 2024-03-29 175244.png"">"	"Correct Option : C
<br>C is correct option because you are not allowed to use class name to call
instance method. Line 1, 5 are correct , you can directly call static
method from instance method without class name or reference variable
of same type."
"<img src=""Screenshot 2024-03-29 175527.png"">"	"Correct Option : D<br>num1 = num1; It is assigning value to the same constructor parameter. It doesn’t affect the num1
instance variable in s1, s2 references . So num1 value is 3 in both the references. this.num2 =
num2; It changes the static variable num2 in both s1, s2 references."
What is the difference between process and thread ?	A process is a series or set of activities that interact to produce a result.&nbsp;<br>Ａ thread of execution is the smallest sequence of programmed instructions that can be managed independently by a scheduler.
Why use threads ? Give 3 reasons.&nbsp;	1, Efficiency&nbsp;<br>2, SImpler to write the Java program<br>3, Background processing
Does thread have its own privacy memory ? If yes, what does it store ?&nbsp;	Yes, it stores Java Stack and program counter .
Should we use run() or start() to start the thread in Java ?	start(), method() will be invoked automatically when a thread is started by start() method.
In what situation will IllegalThreadException happen ?	When calling a start() on the thread when it's already executing run() method.
Why is Runnable Interface better than Thread Class ?	Once a class extends Thread, it can't extend other classes.<br>Runnable is much easier for sharing data
What does Thread.yield() do ?	Causes the executing thread to give up its turn in the round robin to let other threads get more processing time.
